date,close,change,volume,open,high,low
01/11/2010,5.97,-2(-2.61 %),252080,76.5,76.5,74.0
29/10/2010,6.13,3(4.08 %),767340,74.0,77.0,74.0
28/10/2010,5.89,1(1.38 %),487350,72.0,73.5,72.0
27/10/2010,5.81,1(1.40 %),563730,72.0,73.5,72.0
26/10/2010,5.73,2(2.88 %),360540,69.5,72.0,69.5
25/10/2010,5.57,0(0.00 %),292180,69.5,70.0,68.5
22/10/2010,5.57,0(0.00 %),155560,69.5,69.5,69.0
21/10/2010,5.57,-1(-1.42 %),211180,70.0,70.5,69.5
20/10/2010,5.65,-1(-1.40 %),176310,71.5,71.5,70.0
19/10/2010,5.73,0(0.00 %),257230,72.0,72.0,71.5
18/10/2010,5.73,0(0.00 %),136180,72.0,72.0,71.5
15/10/2010,5.73,-1.5(-2.05 %),345600,72.0,72.5,71.0
14/10/2010,5.85,0.5(0.69 %),191890,72.5,73.0,72.0
13/10/2010,5.81,1(1.40 %),299390,71.5,72.5,71.0
12/10/2010,5.73,-0.5(-0.69 %),97840,71.5,72.0,71.0
11/10/2010,5.77,-1(-1.37 %),120700,71.5,72.5,71.5
08/10/2010,5.85,-0.5(-0.68 %),209350,73.5,73.5,73.0
07/10/2010,5.89,1(1.38 %),449790,71.0,74.0,71.0
06/10/2010,5.81,0.5(0.69 %),243910,72.0,72.5,71.5
05/10/2010,5.77,1(1.41 %),307630,70.0,72.0,70.0
04/10/2010,5.69,0(0.00 %),231740,71.0,71.0,70.0
01/10/2010,5.69,0(0.00 %),186980,72.0,72.0,70.5
30/09/2010,5.69,0.5(0.71 %),271620,71.0,71.5,71.0
29/09/2010,5.65,-0.5(-0.70 %),223820,71.0,71.0,70.0
28/09/2010,5.69,1(1.43 %),193510,70.5,71.0,70.0
27/09/2010,5.61,-0.5(-0.71 %),133920,71.0,71.0,70.0
24/09/2010,5.65,-1(-1.40 %),212270,70.5,71.5,70.0
23/09/2010,5.73,0(0.00 %),273630,71.0,72.0,70.5
22/09/2010,5.73,-0.5(-0.69 %),220980,71.0,72.0,71.0
21/09/2010,5.77,-1(-1.37 %),190750,73.5,73.5,72.0
20/09/2010,5.85,-0.5(-0.68 %),70030,72.5,73.5,72.0
17/09/2010,5.89,1.5(2.08 %),168110,72.0,73.5,72.0
16/09/2010,5.77,-1(-1.37 %),107460,73.0,73.5,72.0
15/09/2010,5.85,0(0.00 %),102130,73.5,73.5,72.0
14/09/2010,5.85,0(0.00 %),44550,73.0,73.5,72.0
13/09/2010,5.85,0.5(0.69 %),88930,74.5,74.5,72.0
10/09/2010,5.81,-1(-1.36 %),146040,73.5,74.0,72.5
09/09/2010,5.89,1(1.38 %),107640,73.5,73.5,73.0
08/09/2010,5.81,-0.5(-0.68 %),174600,72.0,73.0,72.0
07/09/2010,5.85,-1(-1.35 %),286140,74.0,74.0,73.0
06/09/2010,5.93,-0.5(-0.67 %),471980,75.5,77.5,74.0
01/09/2010,5.97,-0.5(-0.67 %),350890,74.0,74.5,71.5
31/08/2010,6.01,3(4.17 %),590670,72.0,75.0,72.0
30/08/2010,5.77,2(2.86 %),192440,72.0,73.5,71.5
27/08/2010,5.61,0(0.00 %),92270,69.0,70.5,69.0
26/08/2010,5.61,0.5(0.72 %),210480,68.5,71.0,68.5
25/08/2010,5.57,-0.5(-0.71 %),260880,70.5,70.5,67.5
24/08/2010,5.61,-3(-4.11 %),244030,72.0,72.0,70.0
23/08/2010,5.85,-2(-2.67 %),106720,74.0,74.0,73.0
20/08/2010,6.01,3(4.17 %),142640,72.0,75.0,70.5
19/08/2010,5.77,-0.5(-0.69 %),100200,71.5,72.5,71.5
18/08/2010,5.81,-2.5(-3.33 %),61810,74.0,74.0,72.5
17/08/2010,6.01,1.5(2.04 %),146050,74.5,75.0,73.0
16/08/2010,5.89,2.5(3.52 %),130520,71.0,73.5,70.5
13/08/2010,5.69,0(0.00 %),173160,70.0,71.5,69.5
12/08/2010,5.69,-3(-4.05 %),208310,73.5,73.5,71.0
11/08/2010,5.93,1(1.37 %),33000,75.0,75.0,74.0
10/08/2010,4.45,-1(-1.33 %),309210,74.5,74.5,73.0
09/08/2010,4.51,-2(-2.60 %),240080,76.0,76.0,74.5
06/08/2010,4.63,-2(-2.53 %),277060,78.0,78.0,76.0
05/08/2010,4.75,3.5(4.64 %),303250,78.0,79.0,77.0
04/08/2010,4.54,-2.5(-3.21 %),276520,77.0,78.0,75.0
03/08/2010,4.69,1.5(1.96 %),431310,78.0,80.0,77.5
02/08/2010,4.6,-0.5(-0.65 %),198490,75.5,77.0,75.5
30/07/2010,4.63,2.5(3.36 %),722770,76.0,78.0,75.0
29/07/2010,4.48,3.5(4.93 %),504800,71.0,74.5,71.0
28/07/2010,4.27,-1.5(-2.07 %),164670,71.0,72.5,70.5
27/07/2010,4.36,3(4.32 %),943920,71.0,72.5,70.5
26/07/2010,4.18,-1(-1.42 %),79350,70.5,70.5,69.5
23/07/2010,4.24,0.5(0.71 %),180270,70.5,70.5,70.0
22/07/2010,4.21,0.5(0.72 %),398000,70.0,70.5,69.5
21/07/2010,4.18,-0.5(-0.71 %),131970,69.5,69.5,69.0
